Date,Open,High,Low,Close,Adj Close,Volume
03-01-1995,8190.399902,8190.399902,7833.700195,7844.100098,7844.100098,22000.56055
04-01-1995,7857.299805,7900.399902,7773.100098,7887,7887,22000.56055
05-01-1995,7908,7923.799805,7842.600098,7918.399902,7918.399902,22000.56055
06-01-1995,7904.899902,7904.899902,7628.200195,7683.299805,7683.299805,22000.56055
09-01-1995,7678.600098,7678.600098,7515.899902,7528.899902,7528.899902,22000.56055
10-01-1995,7490.600098,7543.399902,7365.100098,7541.700195,7541.700195,22000.56055
11-01-1995,7610.799805,7726.100098,7389.200195,7392.799805,7392.799805,22000.56055
12-01-1995,7427.200195,7527.100098,7394.799805,7418.100098,7418.100098,22000.56055
13-01-1995,7400.799805,7400.799805,7138.299805,7252.299805,7252.299805,22000.56055
16-01-1995,7316.799805,7519.5,7316.799805,7504.200195,7504.200195,22000.56055
17-01-1995,7556.700195,7642.299805,7546.200195,7606.5,7606.5,22000.56055
18-01-1995,7577.899902,7644.700195,7530.799805,7630.200195,7630.200195,22000.56055
19-01-1995,7623.100098,7623.100098,7419.200195,7422,7422,22000.56055
20-01-1995,7329.600098,7329.600098,7210.899902,7278.100098,7278.100098,22000.56055
23-01-1995,7243.100098,7243.100098,6890.100098,6967.899902,6967.899902,22000.56055
24-01-1995,6970.600098,7035.799805,6908.600098,7022.899902,7022.899902,22000.56055
25-01-1995,7034.299805,7252.299805,7034.299805,7240.700195,7240.700195,22000.56055
26-01-1995,7275.299805,7371.799805,7256.799805,7310.5,7310.5,22000.56055
27-01-1995,7300.700195,7349.5,7209.200195,7297.100098,7297.100098,22000.56055
30-01-1995,7287.5,7343.600098,7267.399902,7342.700195,7342.700195,22000.56055
31-01-1995,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055
01-02-1995,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055
02-02-1995,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055
03-02-1995,7383.700195,7542.100098,7383.700195,7478.899902,7478.899902,22000.56055
06-02-1995,7531.700195,7918.5,7531.700195,7897.799805,7897.799805,22000.56055
07-02-1995,7927.100098,8146.799805,7927.100098,8004,8004,22000.56055
08-02-1995,7978.100098,7978.100098,7851.5,7934.799805,7934.799805,22000.56055
09-02-1995,7914.600098,8084.5,7871.700195,8054.899902,8054.899902,22000.56055
10-02-1995,8079.899902,8173.600098,8000.799805,8012.799805,8012.799805,22000.56055
13-02-1995,8010.700195,8018.5,7941,7974.799805,7974.799805,22000.56055
14-02-1995,7964.799805,7964.799805,7809.600098,7862.700195,7862.700195,22000.56055
15-02-1995,7857.700195,8103.100098,7838.399902,8103.100098,8103.100098,22000.56055
16-02-1995,8189.899902,8339.599609,8119.799805,8133.299805,8133.299805,22000.56055
17-02-1995,8111,8159.399902,8003.899902,8043,8043,22000.56055
20-02-1995,8013.200195,8013.200195,7853.100098,7906.700195,7906.700195,22000.56055
21-02-1995,7899.899902,8082.299805,7899.899902,8082.299805,8082.299805,22000.56055
22-02-1995,8104.299805,8135.600098,7877.100098,7909.299805,7909.299805,22000.56055
23-02-1995,7934,8033.799805,7907.200195,7976.399902,7976.399902,22000.56055
24-02-1995,8096.700195,8236.299805,8096.700195,8219,8219,22000.56055
27-02-1995,8095,8146.399902,8006.899902,8126.700195,8126.700195,22000.56055
28-02-1995,8170.100098,8339.900391,8168.600098,8327.5,8327.5,22000.56055
01-03-1995,8337.700195,8369.900391,8225.400391,8297,8297,22000.56055
02-03-1995,8308.900391,8348.900391,8233.900391,8253.299805,8253.299805,22000.56055
03-03-1995,8224.200195,8224.200195,8115.5,8185.200195,8185.200195,22000.56055
06-03-1995,8175.700195,8175.700195,8079.100098,8093.899902,8093.899902,22000.56055
07-03-1995,8065.899902,8159.200195,8060.600098,8138.700195,8138.700195,22000.56055
08-03-1995,8068.5,8068.5,7905.799805,7930,7930,22000.56055
09-03-1995,7983.5,8076.799805,7973.100098,8076.799805,8076.799805,22000.56055
10-03-1995,8076.399902,8076.399902,7936.899902,7949.399902,7949.399902,22000.56055
13-03-1995,8021.799805,8123.299805,8021.799805,8111.299805,8111.299805,22000.56055
14-03-1995,8099.200195,8109.600098,8040.5,8094.600098,8094.600098,22000.56055
15-03-1995,8156.799805,8380.400391,8156.799805,8365.200195,8365.200195,22000.56055
16-03-1995,8355.599609,8406.099609,8316.799805,8347.799805,8347.799805,22000.56055
17-03-1995,8428.400391,8563.200195,8428.400391,8534.700195,8534.700195,22000.56055
20-03-1995,8528.5,8594.400391,8501.200195,8594.400391,8594.400391,22000.56055
21-03-1995,8623,8659,8540.099609,8580.299805,8580.299805,22000.56055
22-03-1995,8569.900391,8569.900391,8462.799805,8509.099609,8509.099609,22000.56055
23-03-1995,8504.700195,8509.700195,8435.599609,8467.700195,8467.700195,22000.56055
24-03-1995,8462.599609,8489.200195,8416.599609,8484.700195,8484.700195,22000.56055
27-03-1995,8574.299805,8715.200195,8574.299805,8687.5,8687.5,22000.56055
28-03-1995,8700,8849.5,8665,8827.900391,8827.900391,22000.56055
29-03-1995,8795.299805,8795.299805,8698.700195,8732.799805,8732.799805,22000.56055
30-03-1995,8749,8751.200195,8670.700195,8676.200195,8676.200195,22000.56055
31-03-1995,8718.799805,8743.400391,8577.5,8587.700195,8587.700195,22000.56055
03-04-1995,8514.099609,8514.099609,8362.200195,8400.400391,8400.400391,22000.56055
04-04-1995,8428.900391,8502.400391,8401.099609,8491.900391,8491.900391,22000.56055
05-04-1995,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055
06-04-1995,8526.400391,8553.200195,8413.299805,8418.200195,8418.200195,22000.56055
07-04-1995,8426.900391,8483.400391,8389.299805,8470.299805,8470.299805,22000.56055
10-04-1995,8471.700195,8501.799805,8422,8469.799805,8469.799805,22000.56055
11-04-1995,8470,8537,8462.400391,8514.599609,8514.599609,22000.56055
12-04-1995,8514.099609,8517.299805,8454.200195,8509.700195,8509.700195,22000.56055
13-04-1995,8532.599609,8662.900391,8532.599609,8662,8662,22000.56055
14-04-1995,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055
17-04-1995,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055,22000.56055
18-04-1995,8662.5,8697.400391,8628.299805,8645,8645,22000.56055
19-04-1995,8629.099609,8629.099609,8557.099609,8581.900391,8581.900391,22000.56055
20-04-1995,8591,8676.400391,8591,8631.400391,8631.400391,22000.56055
21-04-1995,8640.299805,8670.900391,8602.5,8645.400391,8645.400391,22000.56055
24-04-1995,8658.299805,8695.700195,8593.400391,8625.599609,8625.599609,22000.56055
25-04-1995,8633.299805,8633.299805,8501.099609,8505.599609,8505.599609,22000.56055
26-04-1995,8489.5,8489.5,8189,8285.700195,8285.700195,22000.56055
27-04-1995,8271.599609,8355.400391,8218.700195,8312.299805,8312.299805,22000.56055
28-04-1995,8313,8364.5,8236.599609,8361,8361,22000.56055
01-05-1995,8348.099609,8348.099609,8215.200195,8226,8226,22000.56055
02-05-1995,8225.5,8252.799805,8095.399902,8212.099609,8212.099609,22000.56055
03-05-1995,8229.400391,8317,8229.400391,8299.700195,8299.700195,22000.56055
04-05-1995,8317.900391,8370.700195,8317.900391,8319.799805,8319.799805,22000.56055
05-05-1995,8307.900391,8340.400391,8224.5,8332.200195,8332.200195,22000.56055
08-05-1995,8321.799805,8489,8316.599609,8488.400391,8488.400391,22000.56055
09-05-1995,8521.5,8590.799805,8497.799805,8574.099609,8574.099609,22000.56055
10-05-1995,8604.900391,8807.5,8604.900391,8796.900391,8796.900391,22000.56055
11-05-1995,8858.700195,9025.700195,8858.700195,9025.700195,9025.700195,22000.56055
12-05-1995,9068.400391,9299.099609,9065.200195,9217.799805,9217.799805,22000.56055
15-05-1995,9216.900391,9276.700195,9080.099609,9189.799805,9189.799805,22000.56055
16-05-1995,9176.799805,9317.299805,9161.900391,9162.299805,9162.299805,22000.56055
17-05-1995,9146.799805,9194.099609,9079.700195,9170.200195,9170.200195,22000.56055
18-05-1995,9146.5,9146.5,9069.299805,9115.700195,9115.700195,22000.56055
19-05-1995,9002.200195,9023.700195,8891.299805,9013.299805,9013.299805,22000.56055
22-05-1995,9014.900391,9060.700195,8987.5,9058.700195,9058.700195,22000.56055
23-05-1995,9112.299805,9334.400391,9112.299805,9302.900391,9302.900391,22000.56055
24-05-1995,9344.799805,9404.799805,9257.799805,9258.200195,9258.200195,22000.56055
